<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.10	189.55	198.03	188.86	196.80	1631	4829	1
2020.05.17	195.76	202.12	195.27	201.63	1069	3604	1
2020.05.24	201.72	204.39	197.34	199.16	1861	6785	1
2020.05.31	201.03	206.70	198.77	202.91	1949	5970	1
2020.06.07	202.96	205.57	201.58	205.47	1013	2468	1
2020.06.14	206.56	211.98	204.73	210.99	2018	5358	1
2020.06.21	211.49	214.84	208.53	212.67	1942	5082	1
2020.06.28	213.80	214.44	208.18	208.18	2061	4983	1
2020.07.05	208.63	212.42	208.03	210.40	1306	4058	1
2020.07.12	210.20	216.91	210.20	214.49	1766	5123	1
2020.07.19	215.08	219.13	214.20	217.99	1780	4056	1
2020.07.26	218.63	221.54	218.29	220.11	1988	4196	1
2020.08.02	220.56	222.53	216.76	218.68	2029	5107	1
2020.08.09	217.99	221.59	217.89	221.25	1770	5107	1
2020.08.16	221.30	227.51	221.30	227.51	2323	5439	1
2020.08.23	226.87	235.99	226.87	234.75	2382	6334	1
2020.08.30	235.44	243.92	233.28	238.55	3487	9597	1
2020.09.06	238.60	244.42	238.60	242.00	1653	3634	1
2020.09.13	242.94	245.94	241.66	243.82	2502	5435	1
2020.09.20	243.28	248.51	242.59	248.46	2325	4697	1
2020.09.27	249.05	255.85	249.05	254.87	2994	6633	1
2020.10.04	255.90	258.61	254.37	256.05	2726	5289	1
2020.10.11	256.15	270.10	256.15	268.32	2893	5679	1
2020.10.18	269.38	280.98	265.02	267.27	5087	11069	1
2020.10.25	267.56	276.00	267.56	273.50	4325	7910	1
2020.11.01	274.32	284.29	274.32	281.94	3686	6766	1
2020.11.08	282.42	284.77	261.80	277.58	4589	9667	1
2020.11.15	276.86	279.93	265.09	266.99	3431	6998	1
2020.11.22	267.72	272.11	264.41	266.85	3384	5946	1
2020.11.29	266.36	268.16	253.67	253.97	3399	6750	1
2020.12.06	253.72	255.33	244.41	245.53	2774	4976	1
2020.12.13	245.67	254.65	244.45	254.06	2324	4936	1
2020.12.20	254.02	259.53	251.82	259.53	987	3679	1
2020.12.27	258.65	265.04	258.64	260.77	1230	2704	1
2021.01.03	261.62	268.50	261.05	267.69	2953	6556	1
2021.01.10	268.69	277.22	268.40	274.80	2316	4756	1
2021.01.17	273.05	282.11	271.20	281.82	2659	5332	1
2021.01.24	281.63	283.42	279.76	283.37	1576	2627	1
2021.01.31	284.77	289.16	284.00	286.22	2147	4371	1
2021.02.07	287.33	290.60	282.60	287.13	2665	5726	1
2021.02.14	288.19	290.75	288.19	290.70	733	1481	1
2021.02.21	290.80	295.23	289.82	295.03	2025	3214	1
2021.02.28	295.32	301.85	295.13	300.00	1449	2988	1
2021.03.07	299.80	304.30	297.30	303.95	1807	4181	1
2021.03.14	304.30	309.20	300.00	301.00	3311	6509	1
2021.03.21	301.95	307.85	295.30	305.30	2022	4646	0
2021.03.28	305.45	312.35	304.10	311.10	1300	2951	0
2021.04.04	312.00	316.40	311.80	315.30	2125	5251	0
2021.04.11	316.60	317.10	304.90	305.80	3969	9032	0
