<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.29	126.46	126.46	121.83	123.09	117	153	1
2020.04.30	122.57	125.41	121.09	123.62	174	197	1
2020.05.04	123.36	125.93	123.20	125.78	59	95	1
2020.05.05	127.30	130.09	127.20	128.46	261	372	1
2020.05.06	128.35	129.30	126.14	127.83	125	227	1
2020.05.07	127.93	127.93	123.09	125.93	214	302	1
2020.05.08	127.83	130.88	127.41	128.88	131	156	1
2020.05.11	130.98	130.98	126.46	126.77	80	105	1
2020.05.12	126.30	126.35	122.88	123.09	141	227	1
2020.05.13	123.99	124.14	121.25	121.46	126	152	1
2020.05.14	121.25	125.51	121.25	123.41	142	355	1
2020.05.15	125.20	126.25	122.36	122.36	80	122	1
2020.05.18	123.09	125.51	122.15	125.20	102	426	1
2020.05.19	125.14	125.72	123.20	123.88	103	412	1
2020.05.20	123.36	124.41	122.25	122.25	74	234	1
2020.05.21	122.04	124.14	120.25	121.25	212	810	1
2020.05.22	120.57	121.20	118.99	120.25	178	262	1
2020.05.25	120.78	121.88	120.25	120.25	22	20	1
2020.05.26	122.25	124.67	121.67	121.67	193	368	1
2020.05.27	120.83	121.04	118.83	120.25	215	269	1
2020.05.28	119.04	119.04	115.52	116.04	320	475	1
2020.05.29	115.73	115.73	110.63	111.47	213	358	1
2020.06.01	110.47	115.73	109.10	113.10	191	291	1
2020.06.02	114.68	116.36	113.62	114.73	66	144	1
2020.06.03	114.62	118.15	114.62	115.20	214	290	1
2020.06.04	114.47	115.20	111.68	113.99	142	219	1
2020.06.05	114.41	116.62	113.52	115.73	62	120	1
2020.06.08	116.04	117.20	114.68	116.94	101	193	1
2020.06.09	115.25	116.15	114.78	115.20	165	286	1
2020.06.10	115.62	116.04	113.99	114.62	128	248	1
2020.06.12	113.68	114.62	112.05	112.73	258	374	1
2020.06.15	111.31	111.52	109.42	111.52	211	423	1
2020.06.16	111.52	111.52	108.99	110.10	118	184	1
2020.06.17	109.73	113.36	109.42	112.57	207	235	1
2020.06.18	112.83	112.83	110.36	110.36	167	199	1
2020.06.19	110.47	110.99	109.47	109.68	145	302	1
2020.06.22	110.57	113.10	110.05	112.68	197	268	1
2020.06.23	113.26	114.47	111.84	113.57	224	393	1
2020.06.24	113.57	114.41	111.20	111.84	252	308	1
2020.06.25	110.47	111.26	108.89	108.89	216	273	1
2020.06.26	108.89	110.68	107.78	109.42	175	414	1
2020.06.29	112.05	117.10	111.15	113.94	491	660	1
2020.06.30	115.31	115.73	113.94	114.20	255	331	1
2020.07.01	114.68	118.52	113.62	117.41	169	224	1
2020.07.02	117.31	118.46	114.68	114.68	130	156	1
2020.07.03	115.52	115.68	114.41	114.41	41	38	1
2020.07.06	111.50	112.90	110.88	112.23	126	835	1
2020.07.07	111.81	113.84	111.76	112.54	69	143	1
2020.07.08	113.37	115.35	112.33	114.10	57	108	1
2020.07.09	115.14	115.14	111.81	112.02	55	200	1
2020.07.10	112.07	112.33	110.56	110.62	58	205	1
2020.07.13	110.25	111.29	109.94	110.77	42	131	1
2020.07.14	109.99	110.93	109.73	110.15	57	297	1
2020.07.15	110.15	110.77	109.63	109.84	62	98	1
2020.07.16	110.25	111.29	109.63	109.99	65	134	1
2020.07.17	112.44	115.76	112.44	113.94	252	361	1
