<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.07.12	152.88	153.28	151.66	152.50	411	2156	1
2017.07.13	151.67	152.25	150.73	151.31	405	1708	1
2017.07.14	151.29	152.96	151.29	152.41	206	737	1
2017.07.17	151.89	152.64	151.89	152.49	190	713	1
2017.07.18	152.13	154.79	151.90	153.91	507	2722	1
2017.07.19	153.66	155.90	153.20	155.80	545	3035	1
2017.07.20	156.09	158.09	156.03	156.86	572	3083	1
2017.07.21	156.41	157.57	156.41	157.45	136	611	1
2017.07.24	157.64	159.11	157.64	158.98	339	2664	1
2017.07.25	158.04	159.01	157.98	158.10	246	1546	1
2017.07.26	157.50	158.97	156.86	158.40	370	1988	1
2017.07.27	158.42	159.25	157.57	157.93	307	2971	1
2017.07.28	157.61	159.58	157.11	159.23	370	2176	1
2017.07.31	158.99	160.37	158.46	159.34	313	1667	1
2017.08.01	160.04	160.53	159.84	160.47	270	1352	1
2017.08.02	160.76	161.81	160.17	161.12	362	1679	1
2017.08.03	161.12	162.65	160.76	162.02	447	2868	1
2017.08.04	161.71	163.48	161.20	163.26	430	3152	1
2017.08.07	163.13	164.49	163.13	163.95	444	3050	1
2017.08.08	164.31	165.49	164.31	164.90	547	5170	1
2017.08.09	164.66	165.02	163.48	164.90	417	2930	1
2017.08.10	164.31	165.73	163.97	165.61	462	3071	1
2017.08.11	165.02	166.08	165.02	165.96	411	2322	1
2017.08.14	166.08	166.20	165.14	166.20	270	1289	1
2017.08.15	166.21	168.15	166.21	168.00	450	2577	1
2017.08.16	167.15	167.96	166.93	167.15	405	1960	1
2017.08.17	166.80	167.32	166.32	167.31	221	935	1
2017.08.18	167.31	168.92	166.83	167.86	423	2518	1
2017.08.21	168.45	168.71	165.62	165.83	555	2514	1
2017.08.22	166.67	167.41	163.72	164.31	696	3109	1
2017.08.23	164.07	165.14	162.91	165.14	614	2434	1
2017.08.24	165.14	165.43	163.41	164.72	539	1892	1
2017.08.25	164.72	164.78	164.08	164.43	249	1260	1
2017.08.28	165.01	166.85	165.01	166.67	581	2705	1
2017.08.29	166.76	168.16	166.66	168.09	844	3290	1
2017.08.30	168.09	170.08	167.65	169.36	648	3834	1
2017.08.31	169.83	170.22	167.44	168.55	693	2452	1
2017.09.01	167.67	169.16	167.67	168.68	468	2372	1
2017.09.04	169.27	169.75	169.03	169.27	347	1813	1
2017.09.05	168.91	168.91	167.03	168.51	652	3426	1
2017.09.06	167.86	168.03	166.67	167.73	511	1749	1
2017.09.08	167.24	167.80	166.79	167.50	223	791	1
2017.09.11	167.50	167.68	166.26	166.57	333	1508	1
2017.09.12	166.58	167.26	164.68	165.25	837	2967	1
2017.09.13	164.06	164.06	161.28	163.15	1039	7396	1
